# t1_sec  abs_err_pos  rel_err_pos  abs_err_vel  rel_err_vel  r1  r2  v1  v2
1.220031e+04  -4.444576e+06  -1.567256e-01  4.641947e+02  1.078655e-01  2.835897e+07  3.280355e+07  4.303459e+03  3.839264e+03
1.226031e+04  -4.422821e+06  -1.547950e-01  4.581218e+02  1.070630e-01  2.857211e+07  3.299493e+07  4.278992e+03  3.820870e+03
1.232031e+04  -4.401248e+06  -1.529049e-01  4.519169e+02  1.062188e-01  2.878422e+07  3.318546e+07  4.254583e+03  3.802666e+03
1.238031e+04  -4.379936e+06  -1.510571e-01  4.451908e+02  1.052494e-01  2.899524e+07  3.337517e+07  4.229864e+03  3.784673e+03
1.244031e+04  -4.358896e+06  -1.492505e-01  4.406414e+02  1.047275e-01  2.920523e+07  3.356413e+07  4.207503e+03  3.766861e+03
1.250031e+04  -4.337706e+06  -1.474687e-01  4.377359e+02  1.045467e-01  2.941442e+07  3.375213e+07  4.186991e+03  3.749255e+03
1.256031e+04  -4.316769e+06  -1.457249e-01  4.314769e+02  1.036379e-01  2.962273e+07  3.393950e+07  4.163313e+03  3.731836e+03
1.262031e+04  -4.296095e+06  -1.440198e-01  4.249679e+02  1.026602e-01  2.982988e+07  3.412598e+07  4.139558e+03  3.714590e+03
1.268031e+04  -4.275635e+06  -1.423502e-01  4.199059e+02  1.019821e-01  3.003604e+07  3.431167e+07  4.117446e+03  3.697540e+03
1.274031e+04  -4.255340e+06  -1.407131e-01  4.150539e+02  1.013386e-01  3.024124e+07  3.449658e+07  4.095714e+03  3.680660e+03
1.280031e+04  -4.235219e+06  -1.391082e-01  4.100434e+02  1.006491e-01  3.044550e+07  3.468072e+07  4.073988e+03  3.663945e+03
1.286031e+04  -4.215336e+06  -1.375368e-01  4.051287e+02  9.996894e-02  3.064879e+07  3.486413e+07  4.052545e+03  3.647417e+03
1.292031e+04  -4.195588e+06  -1.359946e-01  4.004012e+02  9.931959e-02  3.085114e+07  3.504673e+07  4.031442e+03  3.631041e+03
1.298031e+04  -4.175975e+06  -1.344808e-01  3.957578e+02  9.867789e-02  3.105256e+07  3.522854e+07  4.010603e+03  3.614845e+03
1.304031e+04  -4.156543e+06  -1.329964e-01  3.912165e+02  9.804888e-02  3.125306e+07  3.540960e+07  3.990015e+03  3.598798e+03
1.310031e+04  -4.137358e+06  -1.315425e-01  3.867643e+02  9.742965e-02  3.145264e+07  3.558999e+07  3.969678e+03  3.582914e+03
1.316031e+04  -4.118249e+06  -1.301131e-01  3.824009e+02  9.682048e-02  3.165131e+07  3.576956e+07  3.949587e+03  3.567186e+03
1.322031e+04  -4.099359e+06  -1.287120e-01  3.781272e+02  9.622202e-02  3.184908e+07  3.594844e+07  3.929736e+03  3.551609e+03
1.328031e+04  -4.080532e+06  -1.273338e-01  3.739414e+02  9.563424e-02  3.204596e+07  3.612649e+07  3.910120e+03  3.536179e+03
1.334031e+04  -4.061960e+06  -1.259837e-01  3.698242e+02  9.505257e-02  3.224196e+07  3.630392e+07  3.890734e+03  3.520909e+03
1.340031e+04  -4.043489e+06  -1.246564e-01  3.657995e+02  9.448346e-02  3.243708e+07  3.648057e+07  3.871572e+03  3.505772e+03
1.346031e+04  -4.025194e+06  -1.233537e-01  3.618481e+02  9.392236e-02  3.263133e+07  3.665652e+07  3.852630e+03  3.490782e+03
1.352031e+04  -4.007041e+06  -1.220739e-01  3.579713e+02  9.336993e-02  3.282472e+07  3.683176e+07  3.833903e+03  3.475932e+03
1.358031e+04  -3.989026e+06  -1.208164e-01  3.541747e+02  9.282798e-02  3.301726e+07  3.700628e+07  3.815388e+03  3.461213e+03
1.364031e+04  -3.971205e+06  -1.195824e-01  3.504464e+02  9.229370e-02  3.320894e+07  3.718015e+07  3.797079e+03  3.446632e+03
1.370031e+04  -3.953435e+06  -1.183670e-01  3.467839e+02  9.176673e-02  3.339979e+07  3.735323e+07  3.778972e+03  3.432188e+03
1.376031e+04  -3.935909e+06  -1.171757e-01  3.431942e+02  9.124924e-02  3.358981e+07  3.752572e+07  3.761064e+03  3.417870e+03
1.382031e+04  -3.918400e+06  -1.160011e-01  3.396647e+02  9.073815e-02  3.377900e+07  3.769740e+07  3.743350e+03  3.403685e+03
1.388031e+04  -3.901123e+06  -1.148491e-01  3.362130e+02  9.023850e-02  3.396737e+07  3.786850e+07  3.725827e+03  3.389614e+03
1.394031e+04  -3.883908e+06  -1.137144e-01  3.328074e+02  8.974203e-02  3.415493e+07  3.803884e+07  3.708490e+03  3.375683e+03
1.400031e+04  -3.866968e+06  -1.126028e-01  3.294748e+02  8.925623e-02  3.434168e+07  3.820865e+07  3.691336e+03  3.361862e+03
1.406031e+04  -3.850010e+06  -1.115052e-01  3.261939e+02  8.877564e-02  3.452764e+07  3.837765e+07  3.674362e+03  3.348168e+03
1.412031e+04  -3.833225e+06  -1.104269e-01  3.229719e+02  8.830245e-02  3.471280e+07  3.854602e+07  3.657564e+03  3.334592e+03
1.418031e+04  -3.816549e+06  -1.093656e-01  3.198163e+02  8.783895e-02  3.489717e+07  3.871372e+07  3.640939e+03  3.321123e+03
1.424031e+04  -3.800099e+06  -1.083243e-01  3.167062e+02  8.737969e-02  3.508076e+07  3.888086e+07  3.624483e+03  3.307777e+03
1.430031e+04  -3.783657e+06  -1.072965e-01  3.136489e+02  8.692683e-02  3.526358e+07  3.904723e+07  3.608194e+03  3.294545e+03
1.436031e+04  -3.767428e+06  -1.062875e-01  3.106525e+02  8.648291e-02  3.544563e+07  3.921305e+07  3.592068e+03  3.281415e+03
1.442031e+04  -3.751262e+06  -1.052929e-01  3.076953e+02  8.604209e-02  3.562691e+07  3.937817e+07  3.576102e+03  3.268406e+03
1.448031e+04  -3.735217e+06  -1.043140e-01  3.047950e+02  8.560953e-02  3.580744e+07  3.954266e+07  3.560293e+03  3.255498e+03
1.454031e+04  -3.719282e+06  -1.033501e-01  3.019500e+02  8.518501e-02  3.598722e+07  3.970650e+07  3.544638e+03  3.242688e+03
1.460031e+04  -3.703456e+06  -1.024009e-01  2.991391e+02  8.476273e-02  3.616625e+07  3.986971e+07  3.529135e+03  3.229996e+03
1.466031e+04  -3.687791e+06  -1.014675e-01  2.963802e+02  8.434793e-02  3.634454e+07  4.003233e+07  3.513781e+03  3.217401e+03
1.472031e+04  -3.672141e+06  -1.005457e-01  2.936712e+02  8.394028e-02  3.652210e+07  4.019424e+07  3.498574e+03  3.204903e+03
1.478031e+04  -3.656714e+06  -9.964089e-02  2.910012e+02  8.353678e-02  3.669893e+07  4.035564e+07  3.483510e+03  3.192508e+03
1.484031e+04  -3.641281e+06  -9.874652e-02  2.883779e+02  8.313989e-02  3.687503e+07  4.051631e+07  3.468587e+03  3.180209e+03
1.490031e+04  -3.626052e+06  -9.786805e-02  2.857999e+02  8.274935e-02  3.705042e+07  4.067647e+07  3.453803e+03  3.168003e+03
1.496031e+04  -3.610875e+06  -9.700111e-02  2.832563e+02  8.236219e-02  3.722509e+07  4.083597e+07  3.439155e+03  3.155898e+03
1.502031e+04  -3.595884e+06  -9.614906e-02  2.807549e+02  8.198083e-02  3.739906e+07  4.099494e+07  3.424641e+03  3.143886e+03
1.508031e+04  -3.580929e+06  -9.530762e-02  2.782947e+02  8.160517e-02  3.757232e+07  4.115325e+07  3.410259e+03  3.131964e+03
1.514031e+04  -3.566072e+06  -9.447829e-02  2.758738e+02  8.123478e-02  3.774489e+07  4.131096e+07  3.396006e+03  3.120132e+03
1.520031e+04  -3.551377e+06  -9.366246e-02  2.734814e+02  8.086666e-02  3.791676e+07  4.146814e+07  3.381880e+03  3.108399e+03
1.526031e+04  -3.536695e+06  -9.285603e-02  2.711357e+02  8.050635e-02  3.808794e+07  4.162464e+07  3.367880e+03  3.096744e+03
1.532031e+04  -3.522230e+06  -9.206413e-02  2.688254e+02  8.015062e-02  3.825844e+07  4.178067e+07  3.354003e+03  3.085178e+03
1.538031e+04  -3.507693e+06  -9.127899e-02  2.665494e+02  7.979931e-02  3.842826e+07  4.193596e+07  3.340247e+03  3.073697e+03
1.544031e+04  -3.493358e+06  -9.050758e-02  2.643065e+02  7.945220e-02  3.859741e+07  4.209077e+07  3.326610e+03  3.062304e+03
1.550031e+04  -3.479149e+06  -8.974769e-02  2.620951e+02  7.910895e-02  3.876589e+07  4.224504e+07  3.313090e+03  3.050995e+03
