t_sec x_m y_m z_m vx_ms vy_ms vz_ms
10697.3051 -24442520.4556 -14322896.3553 -1284178.2879 -1844.0867 -3873.7505 -336.3919
10757.3051 -24552392.9683 -14554872.5993 -1304320.0403 -1818.5203 -3858.8228 -335.0210
10817.3051 -24660752.8446 -14785951.3105 -1324381.1184 -1793.3064 -3843.7234 -333.6409
10877.3050 -24767574.3805 -15016115.0751 -1344352.9714 -1767.5635 -3828.4690 -332.1030
10937.3051 -24872929.7603 -15245388.4503 -1364244.1876 -1745.1048 -3814.1948 -331.0691
10997.3051 -24977050.0307 -15473833.3477 -1384090.9083 -1725.4539 -3800.5916 -330.4578
11057.3051 -25079879.7547 -15701433.4356 -1403879.8731 -1700.8666 -3785.7664 -328.9337
11117.3051 -25181149.2245 -15928124.5572 -1423560.9515 -1676.0529 -3770.8960 -327.3119
11177.3050 -25281037.8080 -16153949.3124 -1443161.6458 -1653.7005 -3756.6367 -326.0584
11237.3051 -25379603.1817 -16378923.8727 -1462688.5671 -1631.8390 -3742.5203 -324.8346
11297.3051 -25476857.6233 -16603050.8011 -1482140.5741 -1609.9616 -3728.3662 -323.5544
11357.3051 -25572806.2724 -16826329.8777 -1501515.3819 -1588.4490 -3714.3084 -322.2852
11417.3051 -25667479.3617 -17048769.9445 -1520815.1443 -1567.3788 -3700.3760 -321.0420
11477.3051 -25760898.4599 -17270376.8373 -1540040.6023 -1546.6451 -3686.5356 -319.8079
11537.3051 -25853083.0787 -17491156.0241 -1559192.2269 -1526.2273 -3672.7856 -318.5807
11597.3051 -25944052.1005 -17711112.9225 -1578270.4625 -1506.1273 -3659.1262 -317.3622
11657.3051 -26033824.5573 -17930252.9615 -1597275.8572 -1486.3389 -3645.5567 -316.1524
11717.3050 -26122418.7989 -18148581.5108 -1616208.9172 -1466.8522 -3632.0764 -314.9510
11777.3051 -26209852.7046 -18366103.8966 -1635070.1408 -1447.6598 -3618.6845 -313.7578
11837.3051 -26296143.7179 -18582825.4017 -1653860.0213 -1428.7546 -3605.3802 -312.5729
11897.3051 -26381308.8632 -18798751.2644 -1672579.0475 -1410.1297 -3592.1629 -311.3960
11957.3051 -26465364.7571 -19013886.6782 -1691227.7035 -1391.7785 -3579.0318 -310.2272
12017.3051 -26548327.6221 -19228236.7908 -1709806.4683 -1373.6944 -3565.9861 -309.0663
12077.3051 -26630213.2993 -19441806.7040 -1728315.8164 -1355.8712 -3553.0250 -307.9133
12137.3051 -26711037.2606 -19654601.4727 -1746756.2171 -1338.3028 -3540.1478 -306.7680
12197.3051 -26790814.6204 -19866626.1051 -1765128.1351 -1320.9835 -3527.3537 -305.6305
12257.3050 -26869560.1466 -20077885.5620 -1783432.0300 -1303.9075 -3514.6419 -304.5006
12317.3051 -26947288.2714 -20288384.7570 -1801668.3568 -1287.0692 -3502.0115 -303.3782
12377.3050 -27024013.1017 -20498128.5560 -1819837.5657 -1270.4634 -3489.4619 -302.2633
12437.3051 -27099748.4292 -20707121.7772 -1837940.1017 -1254.0849 -3476.9921 -301.1558
12497.3051 -27174507.7397 -20915369.1912 -1855976.4054 -1237.9287 -3464.6015 -300.0556
12557.3051 -27248304.2223 -21122875.5211 -1873946.9125 -1221.9899 -3452.2892 -298.9625
12617.3051 -27321150.7784 -21329645.4421 -1891852.0539 -1206.2637 -3440.0544 -297.8767
12677.3051 -27393060.0302 -21535683.5823 -1909692.2558 -1190.7456 -3427.8963 -296.7979
12737.3051 -27464044.3288 -21740994.5223 -1927467.9398 -1175.4312 -3415.8142 -295.7261
12797.3051 -27534115.7623 -21945582.7956 -1945179.5227 -1160.3161 -3403.8073 -294.6612
12857.3051 -27603286.1632 -22149452.8887 -1962827.4168 -1145.3961 -3391.8748 -293.6031
12917.3050 -27671567.1159 -22352609.2416 -1980412.0299 -1130.6672 -3380.0159 -292.5518
12977.3051 -27738969.9635 -22555056.2477 -1997933.7650 -1116.1253 -3368.2298 -291.5072
13037.3051 -27805505.8150 -22756798.2546 -2015393.0208 -1101.7667 -3356.5157 -290.4691
13097.3051 -27871185.5518 -22957839.5636 -2032790.1915 -1087.5875 -3344.8730 -289.4376
13157.3051 -27936019.8337 -23158184.4311 -2050125.6669 -1073.5842 -3333.3009 -288.4126
13217.3050 -28000019.1055 -23357837.0678 -2067399.8324 -1059.7533 -3321.7986 -287.3940
13277.3051 -28063193.6025 -23556801.6402 -2084613.0691 -1046.0912 -3310.3653 -286.3816
13337.3051 -28125553.3567 -23755082.2700 -2101765.7538 -1032.5946 -3299.0004 -285.3756
13397.3051 -28187108.2018 -23952683.0350 -2118858.2590 -1019.2603 -3287.7030 -284.3756
13457.3051 -28247867.7787 -24149607.9695 -2135890.9533 -1006.0852 -3276.4726 -283.3818
13517.3051 -28307841.5408 -24345861.0645 -2152864.2007 -993.0660 -3265.3082 -282.3941
13577.3050 -28367038.7590 -24541446.2683 -2169778.3616 -980.1999 -3254.2094 -281.4123
13637.3051 -28425468.5261 -24736367.4867 -2186633.7919 -967.4838 -3243.1753 -280.4364
13697.3051 -28483139.7620 -24930628.5837 -2203430.8438 -954.9150 -3232.2052 -279.4663
13757.3051 -28540061.2178 -25124233.3817 -2220169.8654 -942.4907 -3221.2985 -278.5020
13817.3051 -28596241.4803 -25317185.6622 -2236851.2011 -930.2081 -3210.4545 -277.5434
13877.3050 -28651688.9761 -25509489.1659 -2253475.1912 -918.0647 -3199.6725 -276.5905
13937.3051 -28706411.9759 -25701147.5933 -2270042.1723 -906.0578 -3188.9519 -275.6431
13997.3051 -28760418.5983 -25892164.6053 -2286552.4772 -894.1850 -3178.2919 -274.7013
14057.3051 -28813716.8136 -26082543.8234 -2303006.4352 -882.4439 -3167.6920 -273.7649
14117.3051 -28866314.4475 -26272288.8303 -2319404.3715 -870.8319 -3157.1514 -272.8339
